Rk,Player,Nation,Pos,Squad,Age,Born,90s?,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
297,Billy Sharp,eng ENG,FW,Sheffield Utd,33,1986,11.7,3,14,5,35.7,1.2,0.43,0.21,0.6,9.5,0,0,0,2.7,2.7,0.19,0.3,0.3
298,Tomáš Sou?ek,cz CZE,MF,West Ham,24,1995,11.6,3,19,7,36.8,1.64,0.61,0.16,0.43,12.1,0,0,0,2.2,2.2,0.12,0.8,0.8
299,Ahmed Elmohamady,eg EGY,DF,Aston Villa,31,1987,11.5,1,5,1,20,0.44,0.09,0.2,1,11.1,0,0,0,0.2,0.2,0.04,0.8,0.8
300,Jeffrey Schlupp,gh GHA,MF,Crystal Palace,26,1992,11.5,3,18,9,50,1.56,0.78,0.17,0.33,18.9,0,0,0,1.7,1.7,0.09,1.3,1.3
301,José Holebas,gr GRE,DF,Watford,35,1984,11.4,0,6,3,50,0.53,0.26,0,0,18.8,1,0,0,0.5,0.5,0.08,-0.5,-0.5
302,Emerson Palmieri,it ITA,DF,Chelsea,24,1994,11.4,0,13,7,53.8,1.14,0.62,0,0,19.9,1,0,0,1,1,0.07,-1,-1
303,Emil Krafth,se SWE,DF,Newcastle Utd,24,1994,11.3,0,4,0,0,0.35,0,0,,13.2,0,0,0,0.3,0.3,0.07,-0.3,-0.3
304,James Justin,eng ENG,DF,Leicester City,21,1998,11.2,0,7,0,0,0.62,0,0,,19.8,0,0,0,0.4,0.4,0.06,-0.4,-0.4
305,Tanguy Ndombele,fr FRA,MF,Tottenham,22,1996,11.2,2,9,4,44.4,0.8,0.36,0.22,0.5,25.4,0,0,0,0.4,0.4,0.05,1.6,1.6
306,Brandon Williams,eng ENG,DF,Manchester Utd,18,2000,11.2,1,6,2,33.3,0.54,0.18,0.17,0.5,13,0,0,0,0.7,0.7,0.12,0.3,0.3
307,Morgan Schneiderlin,fr FRA,MF,Everton,29,1989,11.1,0,6,0,0,0.54,0,0,,19.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3
308,Olivier Giroud,fr FRA,FW,Chelsea,32,1986,11,8,39,19,48.7,3.53,1.72,0.21,0.42,10.9,1,0,0,6.7,6.7,0.17,1.3,1.3
309,Kieran Tierney,sct SCO,DF,Arsenal,22,1997,11,1,6,2,33.3,0.55,0.18,0.17,0.5,19.8,0,0,0,0.3,0.3,0.04,0.7,0.7
